Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
66.66,-0.0182999968528748,-0.122643079019151,0.947763563853997
66.693,-0.0218000113964081,-0.0871211190014944,1.15677054759994
66.726,-0.0241999924182892,-0.0450334916211121,1.31675789041715
66.759,-0.0248999893665314,0.00159934112921301,1.39618401980992
66.792,-0.0241999924182892,0.050757444065426,1.34715423462454
66.825,-0.0214000046253204,0.0947810433529006,1.05663962941543
66.858,-0.0175999999046326,0.128198628273071,0.901596830384681
66.891,-0.012800008058548,0.154966432036777,0.687587404148919
66.924,-0.0072999894618988,0.176262750168061,0.386227408243711
66.957,-0.000699996948242188,0.182491636236129,0.0253647591517433
66.99,0.00510001182556152,0.17584177982125,-0.285757331072473
67.023,0.011000007390976,0.162962911907667,-0.595199053910196
67.056,0.0162000060081482,0.138131255653967,-0.856920548783355
67.089,0.0203000009059906,0.105639725221123,-1.09818694632302
67.122,0.0234000086784363,0.0646464551739395,-1.29033064497327
67.155,0.0248000025749207,0.0167507615555009,-1.35764173620137
67.188,0.024399995803833,-0.0287878392922747,-1.30365072537552
67.221,0.0227000117301941,-0.0691919364913126,-1.22209841977145
67.254,0.019899994134903,-0.109343491620087,-1.11418713762772
67.287,0.015500009059906,-0.147643213721656,-0.774056823503432
67.32,0.00959998369216919,-0.169023670732794,-0.492804881129166
67.353,0.00409999489784241,-0.180134568551576,-0.177517184123394
67.386,-0.00249999761581421,-0.181481442868905,0.163531941184859
67.419,-0.00830000638961792,-0.168602650213717,0.476070658681876
67.452,-0.0137999951839447,-0.148316450191261,0.736743253471924
67.485,-0.0182999968528748,-0.119276194259369,0.968225433175548
67.518,-0.0218000113964081,-0.084511785194124,1.18206505291816
67.551,-0.0241999924182892,-0.039730660040369,1.33277185797678
67.584,-0.0245000123977661,0.00791241624941298,1.34226632467701
67.617,-0.023499995470047,0.0510942253600855,1.17210898453386
67.65,-0.0211000144481659,0.0920874452350124,1.1142933947034
67.683,-0.017300009727478,0.128114539565477,0.930957727685273
67.716,-0.0124000012874603,0.155134684710409,0.678006719713892
67.749,-0.00690001249313355,0.17474749774644,0.36313036766731
67.782,-0.000400006771087647,0.179208940528454,0.0373400287186511
67.815,0.00510001182556152,0.175505098871102,-0.285099483211745
67.848,0.0112999975681305,0.164646341744491,-0.591700060353025
67.881,0.0164999961853027,0.13712111245903,-0.913228329171044
67.914,0.0205999910831451,0.10033664277908,-1.12304123229308
67.947,0.0230999886989594,0.0611111923098942,-1.25688582918574
67.98,0.0248000025749207,0.0170034290564176,-1.34658924767754
68.013,0.024399995803833,-0.0316498656866929,-1.31449192449188
68.046,0.0223999917507172,-0.0722221653870947,-1.19276382278674
68.079,0.0196000039577484,-0.11010096731412,-1.04999356818581
68.112,0.0151000022888184,-0.144612934653608,-0.71942835468797
68.145,0.00959998369216919,-0.164983223383671,-0.500102917784283
68.178,0.00409999489784241,-0.178871933458623,-0.21060650748873
68.211,-0.00249999761581421,-0.181144736832634,0.150778030240729
68.244,-0.00830000638961792,-0.168265944177448,0.491162457570312
68.277,-0.0137999951839447,-0.146969651132315,0.774012479334012
68.31,-0.0182999968528748,-0.114983255012264,0.945119576556438
68.343,-0.0214000046253204,-0.0807240304320728,1.12675018915593
68.376,-0.0238000154495239,-0.0401514296981224,1.27421994377625
68.409,-0.0241999924182892,0.00521899373443095,1.34460368471501
68.442,-0.023499995470047,0.0517675872603713,1.30201951455673
68.475,-0.0207000076770782,0.0950335854231716,1.13041207785069
68.508,-0.0169000029563904,0.127861922236802,0.804674542249175
68.541,-0.0121000111103058,0.153703771857696,0.637258423496476
68.574,-0.00659999251365662,0.172474769630811,0.375726062839351
68.607,-0.000400006771087647,0.17988205156743,0.0572507929299963
68.64,0.00549998879432678,0.17727279301845,-0.293477735380025
